seq_name	length	#mapped_reads	#unmapped_reads
contig_385	38942	86	0
contig_157	3896	86	0
contig_692	1910	85	0
contig_595	32553	85	0
contig_508	1184	85	0
contig_329	27396	85	0
contig_242	39027	85	0
contig_142	27723	84	0
contig_654	9462	83	0
contig_592	44658	83	0
contig_588	52004	83	0
contig_383	36385	83	0
contig_22	10728	83	0
contig_146	43949	83	0
contig_470	15522	82	0
contig_37	36144	82	0
contig_279	14683	81	0
contig_448	40212	80	0
contig_564	37995	79	0
contig_525	28936	79	0
contig_386	36097	79	0
contig_289	54005	79	0
contig_249	41007	79	0
contig_222	35897	79	0
contig_217	56698	79	0
contig_704	1234	78	0
contig_65	48740	78	0
contig_632	10505	78	0
contig_421	26629	78	0
contig_378	18956	78	0
contig_335	61748	78	0
contig_186	36391	78	0
contig_62	21593	77	0
contig_579	46250	77	0
contig_147	25313	77	0
contig_490	50460	76	0
contig_321	18241	76	0
contig_290	45774	76	0
contig_98	39916	75	0
contig_276	30575	75	0
contig_262	40207	75	0
contig_375	47962	74	0
contig_342	42741	74	0
contig_515	24512	73	0
contig_97	35993	72	0
contig_8	49269	72	0
contig_676	1179	72	0
contig_460	37732	72	0
contig_398	20518	72	0
contig_393	27429	72	0
contig_278	28393	72	0
contig_722	1707	71	0
contig_424	32001	71	0
contig_245	37536	71	0
contig_565	23902	70	0
contig_454	27488	70	0
contig_451	20844	70	0
contig_638	24045	69	0
contig_506	28066	69	0
contig_447	16312	69	0
contig_229	43579	69	0
contig_215	31261	69	0
contig_608	5997	68	0
contig_132	21446	68	0
contig_129	36624	68	0
contig_99	33968	67	0
contig_556	21374	67	0
contig_55	32699	67	0
contig_184	37966	67	0
contig_623	39972	66	0
contig_394	36992	66	0
contig_175	2370	66	0
contig_742	3123	65	0
contig_671	1493	65	0
contig_576	38469	65	0
contig_430	51676	65	0
contig_352	31408	65	0
contig_561	19970	64	0
contig_497	31352	64	0
contig_483	48282	64	0
contig_399	60292	64	0
contig_381	26024	64	0
contig_274	40466	64	0
contig_534	37039	63	0
contig_32	28850	63	0
contig_557	28300	62	0
contig_552	27728	62	0
contig_524	22842	62	0
contig_337	26648	62	0
contig_218	49470	62	0
contig_732	6678	61	0
contig_613	29330	61	0
contig_498	22364	61	0
contig_376	28630	61	0
contig_264	44876	61	0
contig_191	28479	61	0
contig_726	2490	60	0
contig_53	39221	60	0
contig_533	38624	60	0
contig_235	27493	60	0
contig_185	29358	60	0
contig_456	43053	59	0
contig_380	23738	59	0
contig_333	19152	59	0
contig_330	10392	59	0
contig_112	574	59	0
contig_593	39496	58	0
contig_464	23241	58	0
contig_315	31071	58	0
contig_10	45473	58	0
contig_586	32359	57	0
contig_550	58873	57	0
contig_547	27038	57	0
contig_700	1813	56	0
contig_58	6746	56	0
contig_574	5003	56	0
contig_554	29046	56	0
contig_446	32131	56	0
contig_361	31010	56	0
contig_300	5628	56	0
contig_18	37765	56	0
contig_177	2933	56	0
contig_72	17089	55	0
contig_604	39315	55	0
contig_582	36269	55	0
contig_492	14842	55	0
contig_481	37253	55	0
contig_396	45672	55	0
contig_265	27352	55	0
contig_527	23782	54	0
contig_52	41334	54	0
contig_467	30559	54	0
contig_374	29944	54	0
contig_28	24395	54	0
contig_243	19415	54	0
contig_170	7667	54	0
contig_68	25340	53	0
contig_459	31822	53	0
contig_263	7860	53	0
contig_9	36760	52	0
contig_5	31968	52	0
contig_530	29646	52	0
contig_501	25196	52	0
contig_422	29635	52	0
contig_558	24497	51	0
contig_543	28215	51	0
contig_538	36747	51	0
contig_232	19832	51	0
contig_645	43728	50	0
contig_637	32527	50	0
contig_328	20068	50	0
contig_323	1617	50	0
contig_304	5855	50	0
contig_710	1944	49	0
contig_644	14150	49	0
contig_359	40421	49	0
contig_27	24338	49	0
contig_162	1882	49	0
contig_78	24575	48	0
contig_713	1187	48	0
contig_239	27970	48	0
contig_130	32066	48	0
contig_372	35047	47	0
contig_325	2786	47	0
contig_275	30132	47	0
contig_75	28459	46	0
contig_712	3123	46	0
contig_367	27500	46	0
contig_292	29585	46	0
contig_666	15263	45	0
contig_559	32493	45	0
contig_555	24846	45	0
contig_549	21213	45	0
contig_541	15743	45	0
contig_387	42498	45	0
contig_66	65226	44	0
contig_439	11117	44	0
contig_395	29627	44	0
contig_686	3047	43	0
contig_310	36261	43	0
contig_269	28818	43	0
contig_691	2739	42	0
contig_600	38345	42	0
contig_362	25937	42	0
contig_360	32972	42	0
contig_209	38128	42	0
contig_699	2622	41	0
contig_528	36899	41	0
contig_231	20022	41	0
contig_193	33625	41	0
contig_163	1299	41	0
contig_711	1394	40	0
contig_625	34221	40	0
contig_585	35446	40	0
contig_429	37409	40	0
contig_366	17407	40	0
contig_327	36381	40	0
contig_213	24982	40	0
contig_740	1025	39	0
contig_587	21395	39	0
contig_519	16033	39	0
contig_505	27144	39	0
contig_489	24484	39	0
contig_303	31948	39	0
contig_266	25963	39	0
contig_26	24928	39	0
contig_504	18481	38	0
contig_436	26874	38	0
contig_435	29355	38	0
contig_672	1535	37	0
contig_651	13844	37	0
contig_493	26391	37	0
contig_287	7185	37	0
contig_202	645	37	0
contig_196	37728	37	0
contig_357	33575	36	0
contig_135	8019	36	0
contig_553	15685	35	0
contig_455	19433	35	0
contig_420	26219	35	0
contig_351	29341	35	0
contig_80	5039	34	0
contig_729	9392	34	0
contig_442	1681	34	0
contig_423	33150	34	0
contig_210	35772	34	0
contig_77	15914	33	0
contig_650	8981	33	0
contig_364	17553	33	0
contig_336	27224	33	0
contig_272	8639	33	0
contig_624	14931	32	0
contig_619	7124	32	0
contig_518	13381	32	0
contig_457	24695	32	0
contig_388	27069	32	0
contig_354	32498	32	0
contig_347	1766	32	0
contig_280	12449	32	0
contig_174	1101	32	0
contig_675	8894	31	0
contig_620	12916	31	0
contig_214	29834	31	0
contig_714	3232	30	0
contig_628	4828	30	0
contig_540	16395	30	0
contig_494	17859	30	0
contig_731	2204	29	0
contig_694	6463	29	0
contig_668	1387	29	0
contig_609	13020	29	0
contig_514	5863	29	0
contig_49	13483	29	0
contig_463	19916	29	0
contig_225	18686	29	0
contig_108	633	29	0
contig_81	10353	28	0
contig_737	6531	28	0
contig_443	25281	28	0
contig_344	18926	28	0
contig_318	35526	28	0
contig_721	2723	27	0
contig_715	1117	27	0
contig_441	24944	27	0
contig_397	34241	27	0
contig_690	1928	26	0
contig_687	1514	26	0
contig_535	20190	26	0
contig_738	3744	25	0
contig_734	1231	25	0
contig_702	15668	25	0
contig_669	1301	25	0
contig_546	19530	25	0
contig_410	512	25	0
contig_406	4757	25	0
contig_346	28011	25	0
contig_83	8951	24	0
contig_618	13352	24	0
contig_563	26013	24	0
contig_542	23450	24	0
contig_413	4689	24	0
contig_259	19716	24	0
contig_656	8328	23	0
contig_507	25890	23	0
contig_486	12256	23	0
contig_324	4098	23	0
contig_665	1305	22	0
contig_44	3717	22	0
contig_693	1858	21	0
contig_674	9675	21	0
contig_510	19557	21	0
contig_478	6386	21	0
contig_465	13168	21	0
contig_24	7936	21	0
contig_247	15651	21	0
contig_230	27985	21	0
contig_735	1313	20	0
contig_725	3113	20	0
contig_689	3780	20	0
contig_657	4455	20	0
contig_407	1812	20	0
contig_371	7712	20	0
contig_248	24757	20	0
contig_141	13823	20	0
contig_43	10015	19	0
contig_428	33821	19	0
contig_12	1212	19	0
contig_730	1393	18	0
contig_719	6967	18	0
contig_695	8821	18	0
contig_640	12850	18	0
contig_634	6655	18	0
contig_583	14703	18	0
contig_539	19721	18	0
contig_517	3611	18	0
contig_45	3587	18	0
contig_418	3926	18	0
contig_411	1623	18	0
contig_349	2591	18	0
contig_341	12477	18	0
contig_709	6415	17	0
contig_677	1915	17	0
contig_658	4266	17	0
contig_523	6463	17	0
contig_338	20445	17	0
contig_187	5556	17	0
contig_705	3887	16	0
contig_655	2381	16	0
contig_629	18573	16	0
contig_412	1902	16	0
contig_724	4958	15	0
contig_476	4706	15	0
contig_152	520	15	0
contig_723	1826	14	0
contig_683	5026	14	0
contig_626	1178	14	0
contig_408	1296	14	0
contig_307	11271	14	0
contig_284	2260	14	0
contig_281	1338	14	0
contig_15	14934	14	0
contig_678	2315	13	0
contig_536	19945	13	0
contig_444	12268	13	0
contig_365	9354	13	0
contig_2	7359	13	0
contig_728	1445	12	0
contig_718	1846	12	0
contig_708	1608	12	0
contig_659	1993	12	0
contig_234	6218	12	0
contig_736	2356	11	0
contig_664	3159	11	0
contig_477	4729	11	0
contig_426	11870	11	0
contig_283	4723	11	0
contig_308	2479	10	0
contig_273	728	10	0
contig_23	6753	10	0
contig_224	7801	10	0
contig_733	2149	9	0
contig_685	3743	9	0
contig_673	7880	9	0
contig_520	2090	9	0
contig_332	1301	9	0
contig_743	7652	8	0
contig_717	4115	8	0
contig_706	13283	8	0
contig_701	1929	8	0
contig_697	2643	8	0
contig_642	5602	8	0
contig_548	15252	8	0
contig_503	3218	8	0
contig_237	7351	8	0
contig_648	8654	7	0
contig_438	3989	7	0
contig_415	2045	7	0
contig_238	7550	7	0
contig_487	2978	6	0
contig_475	878	6	0
contig_322	687	6	0
contig_667	2482	5	0
contig_480	2387	5	0
contig_472	1812	4	0
contig_452	1626	3	0
contig_416	1592	3	0
contig_317	2529	3	0
contig_471	2729	1	0
contig_662	1293	0	0
*	0	0	460275
