#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_195	40433	9	N	N	1	*	*,195,*
contig_359	40421	4	N	N	1	*	*,359,*
contig_433	40303	5	N	N	1	*	*,433,*
contig_448	40212	4	N	N	1	*	*,448,*
contig_262	40207	4	N	N	1	*	*,262,*
contig_612	40152	8	N	N	1	*	*,612,*
contig_70	40055	13	N	N	2	*	*,70,*
contig_623	39972	6	Y	N	1	*	623
contig_98	39916	3	N	N	1	*	*,98,*
contig_36	39520	10	N	N	2	*	*,36,*
contig_392	39519	5	N	N	1	*	*,392,*
contig_593	39496	5	N	N	1	*	*,593,*
contig_604	39315	5	Y	N	1	*	604
contig_401	39295	6	N	N	1	*	*,401,*
contig_53	39221	4	N	N	1	*	*,53,*
contig_569	39057	5	N	N	1	*	*,569,*
contig_220	39033	5	N	N	1	*	*,220,*
contig_242	39027	10	Y	N	1	*	242
contig_532	39004	9	N	N	2	*	*,532,*
contig_385	38942	6	N	N	1	*	*,385,*
contig_533	38624	3	N	N	1	*	*,533,*
contig_576	38469	3	N	N	1	*	*,576,*
contig_600	38345	4	Y	N	1	*	600
contig_639	38146	8	Y	N	1	*	639
contig_209	38128	3	N	N	1	*	*,209,*
contig_144	38099	3	N	N	1	*	*,144,*
contig_564	37995	5	N	N	1	*	*,564,*
contig_184	37966	4	N	N	1	*	*,184,*
contig_241	37949	4	N	N	1	*	*,241,*
contig_18	37765	3	N	N	1	*	*,18,*
contig_460	37732	4	N	N	1	*	*,460,*
contig_196	37728	3	N	N	1	*	*,196,*
contig_577	37579	4	N	N	1	*	*,577,*
contig_245	37536	5	N	N	1	*	*,245,*
contig_643	37533	7	N	N	1	*	*,643,*
contig_429	37409	3	N	N	1	*	*,429,*
contig_481	37253	5	N	N	1	*	*,481,*
contig_534	37039	6	N	N	1	*	*,534,*
contig_394	36992	4	N	N	1	*	*,394,*
contig_261	36990	4	N	N	1	*	*,261,*
contig_528	36899	3	N	N	1	*	*,528,*
contig_9	36760	3	Y	Y	1	*	9
contig_538	36747	4	N	N	1	*	*,538,*
contig_67	36708	5	N	N	1	*	*,67,*
contig_602	36633	4	N	Y	1	*	*,602
contig_129	36624	6	Y	N	1	*	129
contig_496	36395	4	N	N	1	*	*,496,*
contig_186	36391	5	N	N	1	*	*,186,*
contig_383	36385	6	N	N	1	*	*,383,*
contig_327	36381	4	N	N	1	*	*,327,*
contig_34	36369	5	N	N	1	*	*,34,*
contig_582	36269	6	N	N	1	*	*,582,*
contig_310	36261	4	N	N	1	*	*,310,*
contig_37	36144	7	N	N	1	*	*,37,*
contig_386	36097	9	N	N	1	*	*,386,*
contig_285	36089	17	N	N	3	*	*,285,*
contig_97	35993	6	N	N	1	*	*,97,*
contig_222	35897	5	N	N	1	*	*,222,*
contig_267	35824	5	N	N	1	*	*,267,*
contig_210	35772	3	N	N	1	*	*,210,*
contig_581	35735	6	N	N	1	*	*,581,*
contig_258	35668	5	N	N	1	*	*,258,*
contig_318	35526	3	N	N	1	*	*,318,*
contig_585	35446	3	N	N	1	*	*,585,*
contig_445	35090	5	N	N	1	*	*,445,*
contig_372	35047	4	N	N	1	*	*,372,*
contig_384	34830	9	N	N	1	*	*,384,*
contig_334	34757	9	N	N	1	*	*,-573,334,*
contig_468	34557	6	N	N	1	*	*,468,*
contig_250	34367	6	N	N	1	*	*,250,*
contig_397	34241	3	N	N	1	*	*,397,*
contig_625	34221	5	N	N	1	*	*,625,*
contig_607	34205	6	Y	N	1	*	607
contig_99	33968	3	N	N	1	*	*,99,*
contig_562	33856	7	N	N	1	*	*,562,*
contig_428	33821	3	N	N	1	*	*,428,*
contig_193	33625	3	N	N	1	*	*,193,*
contig_357	33575	3	N	N	1	*	*,357,*
contig_511	33406	6	N	N	1	*	*,511,*
contig_368	33350	6	N	N	1	*	*,368,369,369,369,369,369,-118
contig_423	33150	3	N	N	1	*	*,423,*
contig_360	32972	3	N	N	1	*	*,360,*
contig_55	32699	4	N	N	1	*	*,55,*
contig_595	32553	6	N	N	1	*	*,595,*
contig_637	32527	4	Y	N	1	*	637
contig_354	32498	3	N	N	1	*	*,354,*
contig_559	32493	3	N	N	1	*	*,559,*
contig_586	32359	4	N	N	1	*	*,586,*
contig_370	32146	6	N	N	1	*	*,370,*
contig_446	32131	4	N	N	1	*	*,446,*
contig_130	32066	3	N	N	1	*	*,130,*
contig_79	32003	4	N	N	1	*	*,79,*
contig_424	32001	6	N	N	1	*	*,424,*
contig_5	31968	3	N	N	1	*	*,5,*
contig_303	31948	4	N	N	1	*	*,303,*
contig_459	31822	3	N	N	1	*	*,459,*
contig_358	31629	7	N	N	1	*	*,358,*
contig_605	31565	10	Y	N	2	*	605
contig_352	31408	4	N	N	1	*	*,352,*
contig_497	31352	5	N	N	1	*	*,497,*
contig_215	31261	4	N	N	1	*	*,215,*
contig_212	31073	5	N	N	1	*	*,212,*
contig_315	31071	4	N	N	1	*	-312,315,*
contig_361	31010	5	N	N	1	*	*,361,*
contig_228	30795	15	N	N	3	*	*,228,*
contig_276	30575	6	N	N	1	*	*,276,*
contig_467	30559	5	N	N	1	*	*,467,*
contig_275	30132	3	N	N	1	*	*,275,*
contig_374	29944	4	N	N	1	*	*,374,*
contig_214	29834	3	N	N	1	*	*,214,*
contig_530	29646	3	N	Y	1	*	530
contig_422	29635	4	N	N	1	*	*,422,*
contig_395	29627	3	N	N	1	*	*,395,*
contig_292	29585	4	N	N	1	*	*,292,*
contig_591	29472	7	N	N	1	*	*,591,*
contig_185	29358	6	N	N	1	*	*,185,*
contig_435	29355	3	N	N	1	*	*,435,*
contig_351	29341	3	N	N	1	*	*,351,*
contig_613	29330	6	Y	N	1	*	613
contig_509	29065	4	N	N	1	*	*,509,*
contig_554	29046	4	N	N	1	*	*,554,*
contig_525	28936	4	N	N	1	*	*,525,*
contig_32	28850	5	N	N	1	*	*,32,*
contig_269	28818	5	N	N	1	*	*,269,*
contig_92	28632	23	N	N	4	*	86,87,92,-87,-86
contig_376	28630	4	N	N	1	*	*,376,*
contig_191	28479	5	N	N	1	*	*,191,*
contig_75	28459	4	N	N	1	*	*,75,*
contig_278	28393	3	N	N	1	*	*,278,*
contig_599	28392	7	N	N	1	*	*,599,*
contig_557	28300	4	N	N	1	*	*,557,*
contig_543	28215	4	N	N	1	*	*,543,*
contig_506	28066	6	N	N	1	*	*,506,*
contig_346	28011	3	N	N	1	*	*,346,*
contig_230	27985	4	N	N	1	*	*,230,*
contig_239	27970	4	N	N	1	*	*,239,*
contig_14	27963	10	N	Y	2	98	*,14,*
contig_13	27787	24	N	Y	4	98	*,13,*
contig_552	27728	5	N	N	1	*	*,552,*
contig_142	27723	5	N	N	1	*	*,142,*
contig_166	27710	6	N	N	1	*	-158,166,-207,-204,-159,-157
contig_414	27557	23	Y	N	4	*	414
contig_367	27500	5	N	N	1	*	*,367,*
contig_235	27493	5	N	N	1	*	*,235,*
contig_454	27488	6	N	N	1	*	*,454,*
contig_393	27429	5	N	N	1	*	*,393,*
contig_329	27396	3	N	N	1	*	*,329,*
contig_265	27352	3	N	N	1	*	*,265,*
contig_336	27224	4	N	N	1	*	*,336,*
contig_505	27144	3	N	N	1	*	*,505,*
contig_388	27069	4	N	N	1	*	*,388,*
contig_547	27038	5	N	N	1	*	*,547,*
contig_622	26894	17	N	N	3	*	*,622,*
contig_436	26874	4	N	N	1	*	*,436,*
contig_96	26659	6	N	N	1	*	*,96,*
contig_337	26648	8	N	N	1	*	*,337,*
contig_216	26630	3	N	N	1	*	*,216,*
contig_421	26629	8	N	N	1	*	*,421,*
contig_493	26391	5	N	N	1	*	*,493,*
contig_219	26347	6	N	N	1	*	*,219,*
contig_560	26339	5	N	N	1	*	*,560,*
contig_420	26219	4	N	N	1	*	*,420,*
contig_268	26027	5	N	N	1	*	*,268,*
contig_381	26024	5	N	N	1	*	*,381,*
contig_432	26014	7	N	N	1	*	*,432,*
contig_563	26013	4	N	N	1	*	*,563,*
contig_266	25963	3	N	N	1	*	*,266,*
contig_362	25937	3	N	N	1	*	*,362,*
contig_507	25890	3	N	N	1	*	*,507,*
contig_68	25340	4	N	N	1	*	*,68,*
contig_147	25313	9	N	N	1	*	*,147,*
contig_526	25307	5	N	N	1	*	*,526,*
contig_443	25281	3	N	N	1	*	*,443,*
contig_596	25272	5	N	N	1	*	*,596,*
contig_501	25196	3	N	N	1	*	*,501,*
contig_213	24982	4	N	N	1	*	*,213,*
contig_441	24944	3	N	N	1	*	*,441,*
contig_26	24928	4	N	N	1	*	*,602,26,*
contig_555	24846	4	N	N	1	*	*,555,*
contig_248	24757	3	N	N	1	*	*,248,*
contig_457	24695	3	N	N	1	*	*,457,*
contig_551	24599	4	N	N	1	*	*,551,*
contig_78	24575	3	N	N	1	*	*,78,*
contig_545	24526	4	N	N	1	*	*,545,*
contig_515	24512	4	N	N	1	*	*,515,*
contig_558	24497	4	N	N	1	*	*,558,*
contig_489	24484	4	N	N	1	*	*,489,*
contig_28	24395	4	N	N	1	*	*,28,29,29,*
contig_27	24338	3	N	N	1	*	*,602,27,*
contig_638	24045	15	Y	N	2	*	638
contig_565	23902	4	N	N	1	*	*,565,*
contig_527	23782	5	N	N	1	*	*,527,*
contig_380	23738	4	N	N	1	*	*,380,*
contig_473	23495	15	Y	N	3	*	473
contig_542	23450	4	N	N	1	*	*,542,*
contig_91	23351	15	N	N	2	*	91,-105,119
contig_150	23328	13	N	N	2	*	*,150,*
contig_464	23241	6	N	N	1	*	*,464,*
contig_524	22842	5	N	N	1	*	*,524,*
contig_319	22562	3	N	N	1	*	*,319,*
contig_516	22552	4	N	N	1	*	*,516,*
contig_616	22545	4	N	Y	1	*	*,616
contig_498	22364	5	N	N	1	*	*,498,*
contig_128	22207	7	N	N	1	*	*,128,*
contig_431	22035	5	N	N	1	*	*,431,*
contig_38	21795	6	N	N	1	*	*,38,*
contig_62	21593	6	N	N	1	*	*,62,*
contig_132	21446	9	N	N	1	*	132,141
contig_71	21432	6	N	N	1	*	*,71,*
contig_587	21395	5	N	N	1	*	*,587,*
contig_556	21374	7	N	N	1	*	*,556,*
contig_707	21342	31	Y	N	6	*	707
contig_549	21213	4	N	N	1	*	*,549,*
contig_451	20844	4	N	N	1	*	*,451,*
contig_398	20518	6	N	N	1	*	*,398,*
contig_338	20445	3	N	N	1	*	*,338,*
contig_535	20190	4	N	N	1	*	*,535,*
contig_39	20086	10	N	Y	1	*	39
contig_328	20068	6	N	N	1	*	*,328,*
contig_231	20022	4	N	N	1	*	*,231,*
contig_561	19970	6	N	N	1	*	*,561,*
contig_536	19945	4	N	N	1	*	*,536,*
contig_463	19916	7	Y	N	1	*	463
contig_232	19832	6	N	N	1	*	*,232,*
contig_223	19825	3	N	N	1	*	*,223,*
contig_458	19818	7	N	N	1	*	*,458,*
contig_539	19721	3	N	N	1	*	*,539,*
contig_259	19716	3	N	N	1	*	*,259,*
contig_510	19557	3	N	N	1	*	*,510,*
contig_546	19530	3	N	N	1	*	*,546,*
contig_455	19433	3	N	N	1	*	*,455,*
contig_252	19425	5	N	N	1	*	*,252,*
contig_243	19415	7	N	N	1	*	*,243,*
contig_537	19271	7	N	N	1	*	*,537,*
contig_355	19244	8	N	N	1	*	*,355,*
contig_333	19152	4	N	N	1	*	*,333,*
contig_378	18956	5	N	N	1	*	*,378,*
contig_344	18926	4	N	N	1	*	*,344,*
contig_255	18836	14	N	N	2	*	-256,255,254,-256
contig_488	18803	6	N	N	1	*	*,488,*
contig_225	18686	6	N	N	1	*	*,225,*
contig_531	18584	5	N	N	1	*	*,531,*
contig_629	18573	5	Y	N	1	*	629
contig_504	18481	3	N	N	1	*	*,504,*
contig_321	18241	5	N	N	1	*	*,321,*
contig_409	17995	17	Y	Y	3	*	409
contig_494	17859	4	N	N	1	*	*,494,*
contig_143	17570	12	N	N	2	*	*,143,*
contig_364	17553	4	N	N	1	*	*,364,*
contig_366	17407	5	N	N	1	*	*,366,*
contig_72	17089	6	N	N	1	*	*,72,*
contig_172	16703	4	N	N	1	*	*,172,*
contig_405	16607	11	Y	Y	2	*	405
contig_540	16395	5	N	N	1	*	*,540,*
contig_447	16312	8	N	N	1	*	*,447,*
contig_253	16270	6	N	N	1	*	*,253,*
contig_260	16061	6	N	N	1	*	*,260,*
contig_519	16033	7	N	N	1	*	141,519,-522,-521
contig_77	15914	4	N	N	1	*	*,77,*
contig_541	15743	9	N	N	1	*	*,541,*
contig_553	15685	8	N	N	1	*	*,553,*
contig_702	15668	5	Y	N	1	*	702
contig_247	15651	4	N	N	1	*	*,247,*
contig_670	15579	32	Y	N	5	*	670
contig_470	15522	5	N	N	1	*	*,470,*
contig_666	15263	6	Y	N	1	*	666
contig_548	15252	3	N	N	1	*	*,548,*
contig_544	15187	4	N	N	1	*	*,544,*
contig_15	14934	3	N	N	1	*	*,15,*
contig_624	14931	6	Y	N	1	*	624
contig_492	14842	6	N	N	1	*	*,492,*
contig_583	14703	3	N	N	1	*	*,583,*
contig_279	14683	9	N	Y	1	*	*,279,*
contig_293	14339	22	N	N	3	*	*,293,*
contig_644	14150	8	N	N	1	*	141,644,-521
contig_681	14140	34	Y	N	6	*	681
contig_651	13844	10	Y	N	1	*	651
contig_141	13823	7	N	Y	1	*	141
contig_271	13761	29	Y	N	5	*	271
contig_35	13729	28	N	N	5	*	*,35,*
contig_382	13693	3	N	N	1	*	*,382,*
contig_49	13483	6	N	N	1	*	*,49,*
contig_680	13416	45	Y	N	8	*	680
contig_518	13381	7	Y	N	1	*	518
contig_618	13352	6	Y	N	1	*	618
contig_706	13283	3	Y	N	1	*	706
contig_93	13233	8	N	N	1	*	*,93,*
contig_465	13168	5	N	N	1	*	*,465,*
contig_609	13020	9	Y	N	1	*	609
contig_620	12916	7	N	N	1	*	*,620,*
contig_640	12850	4	N	N	1	*	*,640,-469
contig_302	12564	24	N	N	4	*	*,302,*
contig_341	12477	8	Y	N	1	*	341
contig_280	12449	5	N	Y	1	80	*,280,*
contig_627	12343	15	Y	N	3	*	627
contig_444	12268	4	N	N	1	*	*,444,*
contig_486	12256	6	Y	N	1	*	486
contig_684	12187	44	Y	N	8	*	684
contig_647	12169	7	Y	N	1	*	647
contig_500	11884	4	N	Y	1	*	500
contig_426	11870	5	Y	N	1	*	426
contig_425	11766	15	N	N	2	*	*,425,*
contig_617	11661	13	N	N	2	*	-178,617
contig_450	11578	9	N	N	1	*	*,450,*
contig_301	11366	8	N	N	1	*	*,301,*
contig_296	11349	26	N	N	4	*	-294,296,294
contig_307	11271	3	N	N	1	*	*,307,*
contig_439	11117	5	N	N	1	*	*,439,*
contig_649	10892	53	Y	N	9	*	649
contig_40	10837	7	N	N	1	*	-39,40,41,42
contig_118	10804	5	N	Y	1	*	118
contig_22	10728	5	N	N	1	*	*,22,*
contig_632	10505	15	N	Y	2	*	632
contig_330	10392	6	N	N	1	*	*,330,*
contig_81	10353	4	N	N	1	*	*,81,*
contig_125	10227	14	N	N	2	*	*,125,*
contig_199	10062	7	N	N	1	*	182,-176,182,199
contig_43	10015	3	N	N	1	*	*,43,*
contig_631	9930	26	Y	N	4	*	631
contig_181	9839	5	N	N	1	*	181,-182
contig_674	9675	6	Y	N	1	*	674
contig_654	9462	26	Y	N	4	*	654
contig_156	9427	8	N	N	1	*	-165,156,-168
contig_729	9392	10	Y	N	1	*	729
contig_365	9354	5	Y	N	1	*	365
contig_153	9326	8	N	N	1	*	-178,-165,153,167,205,-161,165
contig_197	9192	5	N	N	1	*	*,197,*
contig_160	9106	9	N	N	1	*	160,-159,-151,165,155
contig_650	8981	13	Y	N	2	*	650
contig_83	8951	6	N	Y	1	102	*,83,*
contig_675	8894	5	Y	N	1	*	675
contig_348	8886	30	Y	N	5	*	348
contig_695	8821	5	Y	N	1	*	695
contig_179	8786	10	N	N	3	*	179,-207,206
contig_198	8696	8	N	N	1	*	-205,207,198
contig_648	8654	4	Y	N	1	*	648
contig_114	8648	19	N	N	3	*	-119,105,101,114
contig_272	8639	11	N	Y	2	72	*,272,*
contig_633	8502	12	N	N	1	*	*,633,*
contig_656	8328	8	Y	N	1	*	656
contig_111	8149	8	N	N	1	*	111,109,110
contig_135	8019	13	Y	N	2	*	135
contig_24	7936	6	N	N	1	*	*,24,*
contig_673	7880	3	Y	N	1	*	673
contig_263	7860	21	Y	N	4	*	263
contig_224	7801	4	N	N	1	*	*,224,*
contig_371	7712	6	Y	N	1	*	371
contig_170	7667	4	N	N	1	*	*,170,*
contig_86	7666	8	N	Y	1	*	86
contig_743	7652	4	Y	N	1	*	743
contig_238	7550	3	N	Y	1	108	*,238,*
contig_2	7359	3	N	N	1	*	*,2,*
contig_237	7351	6	N	Y	1	108	*,237,*
contig_287	7185	15	N	Y	3	78	*,287,*
contig_619	7124	13	Y	N	2	*	619
contig_719	6967	7	Y	N	1	*	719
contig_120	6964	28	N	N	5	*	*,120,*
contig_257	6959	19	N	N	3	*	256,-254,257
contig_23	6753	5	Y	N	1	*	23
contig_58	6746	4	N	N	1	*	*,58,*
contig_732	6678	4	Y	N	1	*	732
contig_634	6655	8	Y	N	1	*	634
contig_737	6531	8	Y	N	1	*	737
contig_694	6463	11	Y	N	2	*	694
contig_523	6463	7	N	N	1	*	*,523,*
contig_709	6415	9	Y	N	1	*	709
contig_478	6386	12	N	Y	2	92	*,478,*
contig_234	6218	4	N	Y	1	106	*,234,*
contig_305	6103	9	N	Y	1	*	305,*
contig_744	6053	5	Y	N	1	*	744
contig_608	5997	8	N	N	2	*	*,608,*
contig_306	5930	10	N	N	1	*	*,-305,306,305,*
contig_171	5866	9	N	N	1	*	*,171,*
contig_514	5863	6	N	Y	1	114	*,514,*
contig_304	5855	6	N	N	1	*	*,304,*
contig_85	5630	6	N	N	1	*	*,85,*
contig_300	5628	8	Y	N	1	*	300
contig_642	5602	3	Y	N	1	*	642
contig_187	5556	7	N	N	1	*	*,187,*
contig_90	5504	10	N	N	2	*	90,254,-256
contig_117	5432	13	N	N	3	*	-119,105,117,-326,-326,-326
contig_126	5296	6	N	N	1	*	126,-118
contig_615	5293	41	N	N	5	*	-119,105,615
contig_127	5231	18	N	N	3	*	*,127,*
contig_42	5093	9	N	Y	4	*	42
contig_124	5079	72	N	Y	13	46	124
contig_80	5039	6	Y	N	1	*	80
contig_88	5028	37	N	N	7	*	*,88,*
contig_683	5026	10	Y	N	2	*	683
contig_574	5003	6	N	N	1	*	*,574,*
contig_724	4958	7	Y	N	1	*	724
contig_628	4828	9	N	N	1	*	*,628,*
contig_295	4818	8	N	Y	4	*	295
contig_406	4757	10	N	Y	1	84	406
contig_477	4729	8	N	Y	1	92	*,477
contig_283	4723	4	N	Y	1	80	*,283,*
contig_476	4706	11	N	Y	1	92	*,476
contig_413	4689	9	N	N	1	*	*,413,*
contig_200	4504	9	N	N	2	*	200,-201,203,-168
contig_657	4455	8	Y	N	1	*	657
contig_658	4266	7	Y	N	1	*	658
contig_155	4225	23	N	Y	4	*	155
contig_717	4115	7	Y	N	1	*	717
contig_324	4098	6	N	N	1	*	*,324,*
contig_438	3989	3	N	N	1	*	*,438,*
contig_89	3938	29	N	Y	6	*	89
contig_418	3926	8	N	Y	1	86	*,418,*
contig_157	3896	8	N	Y	2	*	157
contig_705	3887	5	Y	N	1	*	705
contig_689	3780	10	Y	N	2	*	689
contig_738	3744	7	Y	N	1	*	738
contig_685	3743	4	Y	N	1	*	685
contig_44	3717	7	N	N	1	*	*,44,*
contig_517	3611	11	N	N	1	*	*,517,*
contig_45	3587	9	N	N	1	*	*,45,*
contig_739	3533	8	Y	N	1	*	739
contig_660	3499	10	Y	N	2	*	660
contig_256	3343	7	N	Y	1	*	256
contig_449	3239	22	Y	Y	4	*	449
contig_714	3232	10	Y	N	2	*	714
contig_503	3218	3	N	Y	1	112	*,503,*
contig_664	3159	5	Y	N	2	*	664
contig_742	3123	13	Y	N	2	*	742
contig_712	3123	9	Y	N	1	*	712
contig_725	3113	6	Y	N	1	*	725
contig_686	3047	22	Y	N	4	*	686
contig_487	2978	3	N	N	1	*	*,487,*
contig_177	2933	4	N	Y	2	*	177
contig_122	2901	21	N	N	3	*	*,122,*
contig_404	2838	20	N	Y	3	84	404
contig_325	2786	10	Y	Y	1	*	325
contig_691	2739	19	Y	N	3	*	691
contig_688	2731	3	Y	N	1	*	688
contig_471	2729	7	N	Y	1	94	*,471,*
contig_721	2723	8	Y	N	1	*	721
contig_697	2643	4	Y	N	1	*	697
contig_699	2622	9	Y	N	1	*	699
contig_349	2591	9	N	N	1	*	*,349,*
contig_317	2529	8	Y	Y	1	60	317
contig_726	2490	6	Y	N	1	*	726
contig_667	2482	20	Y	N	4	*	667
contig_308	2479	5	N	N	1	*	*,308,*
contig_480	2387	6	N	N	1	*	*,480,*
contig_655	2381	9	Y	N	1	*	655
contig_175	2370	10	N	N	2	*	-155,175
contig_736	2356	5	Y	N	1	*	736
contig_121	2343	9	N	N	2	*	*,121,*
contig_297	2320	35	N	N	6	*	*,297,*
contig_678	2315	6	Y	N	1	*	678
contig_284	2260	9	N	Y	1	80	*,284,*
contig_731	2204	6	Y	N	1	*	731
contig_733	2149	4	Y	N	1	*	733
contig_168	2131	42	N	Y	8	*	168
contig_520	2090	10	N	N	2	*	*,520,*
contig_119	2075	296	N	Y	59	*	119
contig_415	2045	4	N	Y	1	88	*,415,*
contig_659	1993	8	Y	N	2	*	659
contig_710	1944	15	Y	N	2	*	710
contig_701	1929	9	Y	N	3	*	701
contig_690	1928	14	Y	N	2	*	690
contig_677	1915	8	Y	N	1	*	677
